rank,bioregion_code,bioregion_name,area_km2,protected_pct,gap_to_target_pp,vertex_order,vx,vy,highlight
33,VIM,Victorian Midlands,34697.9,11.64,-5.36,5,440.23,98.0,False
34,OVP,Ord Victoria Plain,125407.0,11.86,-5.14,0,512.97,84.0,False
34,OVP,Ord Victoria Plain,125407.0,11.86,-5.14,1,537.22,98.0,False
34,OVP,Ord Victoria Plain,125407.0,11.86,-5.14,2,537.22,126.0,False
34,OVP,Ord Victoria Plain,125407.0,11.86,-5.14,3,512.97,140.0,False
34,OVP,Ord Victoria Plain,125407.0,11.86,-5.14,4,488.73,126.0,False
34,OVP,Ord Victoria Plain,125407.0,11.86,-5.14,5,488.73,98.0,False
35,CAR,Carnarvon,84301.7,14.6,-2.4,0,561.47,84.0,False
35,CAR,Carnarvon,84301.7,14.6,-2.4,1,585.72,98.0,False
35,CAR,Carnarvon,84301.7,14.6,-2.4,2,585.72,126.0,False
35,CAR,Carnarvon,84301.7,14.6,-2.4,3,561.47,140.0,False
35,CAR,Carnarvon,84301.7,14.6,-2.4,4,537.22,126.0,False
35,CAR,Carnarvon,84301.7,14.6,-2.4,5,537.22,98.0,False
36,HAM,Hampton,10882.0,14.64,-2.36,0,52.25,126.0,False
36,HAM,Hampton,10882.0,14.64,-2.36,1,76.5,140.0,False
36,HAM,Hampton,10882.0,14.64,-2.36,2,76.5,168.0,False
36,HAM,Hampton,10882.0,14.64,-2.36,3,52.25,182.0,False
36,HAM,Hampton,10882.0,14.64,-2.36,4,28.0,168.0,False
36,HAM,Hampton,10882.0,14.64,-2.36,5,28.0,140.0,False
37,MAC,MacDonnell Ranges,39294.4,14.75,-2.25,0,100.75,126.0,False
37,MAC,MacDonnell Ranges,39294.4,14.75,-2.25,1,124.99,140.0,False
37,MAC,MacDonnell Ranges,39294.4,14.75,-2.25,2,124.99,168.0,False
37,MAC,MacDonnell Ranges,39294.4,14.75,-2.25,3,100.75,182.0,False
37,MAC,MacDonnell Ranges,39294.4,14.75,-2.25,4,76.5,168.0,False
37,MAC,MacDonnell Ranges,39294.4,14.75,-2.25,5,76.5,140.0,False
38,DAL,Dampierland,83608.7,14.8,-2.2,0,149.24,126.0,False
38,DAL,Dampierland,83608.7,14.8,-2.2,1,173.49,140.0,False
38,DAL,Dampierland,83608.7,14.8,-2.2,2,173.49,168.0,False
38,DAL,Dampierland,83608.7,14.8,-2.2,3,149.24,182.0,False
38,DAL,Dampierland,83608.7,14.8,-2.2,4,124.99,168.0,False
38,DAL,Dampierland,83608.7,14.8,-2.2,5,124.99,140.0,False
39,SEQ,South Eastern Queensland,78049.2,14.81,-2.19,0,197.74,126.0,False
39,SEQ,South Eastern Queensland,78049.2,14.81,-2.19,1,221.99,140.0,False
39,SEQ,South Eastern Queensland,78049.2,14.81,-2.19,2,221.99,168.0,False
39,SEQ,South Eastern Queensland,78049.2,14.81,-2.19,3,197.74,182.0,False
39,SEQ,South Eastern Queensland,78049.2,14.81,-2.19,4,173.49,168.0,False
39,SEQ,South Eastern Queensland,78049.2,14.81,-2.19,5,173.49,140.0,False
40,JAF,Jarrah Forest,45090.7,14.95,-2.05,0,246.24,126.0,False
40,JAF,Jarrah Forest,45090.7,14.95,-2.05,1,270.49,140.0,False
40,JAF,Jarrah Forest,45090.7,14.95,-2.05,2,270.49,168.0,False
40,JAF,Jarrah Forest,45090.7,14.95,-2.05,3,246.24,182.0,False
40,JAF,Jarrah Forest,45090.7,14.95,-2.05,4,221.99,168.0,False
40,JAF,Jarrah Forest,45090.7,14.95,-2.05,5,221.99,140.0,False
41,CMC,Central Mackay Coast,14642.1,15.0,-2.0,0,294.74,126.0,False
41,CMC,Central Mackay Coast,14642.1,15.0,-2.0,1,318.98,140.0,False
41,CMC,Central Mackay Coast,14642.1,15.0,-2.0,2,318.98,168.0,False
41,CMC,Central Mackay Coast,14642.1,15.0,-2.0,3,294.74,182.0,False
41,CMC,Central Mackay Coast,14642.1,15.0,-2.0,4,270.49,168.0,False
41,CMC,Central Mackay Coast,14642.1,15.0,-2.0,5,270.49,140.0,False
42,EYB,Eyre Yorke Block,61204.1,15.17,-1.83,0,343.23,126.0,False
42,EYB,Eyre Yorke Block,61204.1,15.17,-1.83,1,367.48,140.0,False
42,EYB,Eyre Yorke Block,61204.1,15.17,-1.83,2,367.48,168.0,False
42,EYB,Eyre Yorke Block,61204.1,15.17,-1.83,3,343.23,182.0,False
42,EYB,Eyre Yorke Block,61204.1,15.17,-1.83,4,318.98,168.0,False
42,EYB,Eyre Yorke Block,61204.1,15.17,-1.83,5,318.98,140.0,False
43,TSE,Tasmanian South East,11069.3,15.92,-1.08,0,391.73,126.0,False
43,TSE,Tasmanian South East,11069.3,15.92,-1.08,1,415.98,140.0,False
43,TSE,Tasmanian South East,11069.3,15.92,-1.08,2,415.98,168.0,False
43,TSE,Tasmanian South East,11069.3,15.92,-1.08,3,391.73,182.0,False
43,TSE,Tasmanian South East,11069.3,15.92,-1.08,4,367.48,168.0,False
43,TSE,Tasmanian South East,11069.3,15.92,-1.08,5,367.48,140.0,False
44,GAS,Gascoyne,180752.6,16.09,-0.91,0,440.23,126.0,False
44,GAS,Gascoyne,180752.6,16.09,-0.91,1,464.48,140.0,False
44,GAS,Gascoyne,180752.6,16.09,-0.91,2,464.48,168.0,False
44,GAS,Gascoyne,180752.6,16.09,-0.91,3,440.23,182.0,False
44,GAS,Gascoyne,180752.6,16.09,-0.91,4,415.98,168.0,False
44,GAS,Gascoyne,180752.6,16.09,-0.91,5,415.98,140.0,False
45,BEL,Ben Lomond,6575.0,16.3,-0.7,0,488.73,126.0,False
45,BEL,Ben Lomond,6575.0,16.3,-0.7,1,512.97,140.0,False
45,BEL,Ben Lomond,6575.0,16.3,-0.7,2,512.97,168.0,False
45,BEL,Ben Lomond,6575.0,16.3,-0.7,3,488.73,182.0,False
45,BEL,Ben Lomond,6575.0,16.3,-0.7,4,464.48,168.0,False
45,BEL,Ben Lomond,6575.0,16.3,-0.7,5,464.48,140.0,False
46,TNS,Tasmanian Northern Slopes,6231.0,16.36,-0.64,0,537.22,126.0,False
46,TNS,Tasmanian Northern Slopes,6231.0,16.36,-0.64,1,561.47,140.0,False
46,TNS,Tasmanian Northern Slopes,6231.0,16.36,-0.64,2,561.47,168.0,False
46,TNS,Tasmanian Northern Slopes,6231.0,16.36,-0.64,3,537.22,182.0,False
46,TNS,Tasmanian Northern Slopes,6231.0,16.36,-0.64,4,512.97,168.0,False
46,TNS,Tasmanian Northern Slopes,6231.0,16.36,-0.64,5,512.97,140.0,False
47,GAW,Gawler,120028.8,16.36,-0.64,0,585.72,126.0,False
47,GAW,Gawler,120028.8,16.36,-0.64,1,609.97,140.0,False
47,GAW,Gawler,120028.8,16.36,-0.64,2,609.97,168.0,False
47,GAW,Gawler,120028.8,16.36,-0.64,3,585.72,182.0,False
47,GAW,Gawler,120028.8,16.36,-0.64,4,561.47,168.0,False
47,GAW,Gawler,120028.8,16.36,-0.64,5,561.47,140.0,False
48,MDD,Murray Darling Depression,199583.7,17.4,0.4,0,28.0,168.0,False
48,MDD,Murray Darling Depression,199583.7,17.4,0.4,1,52.25,182.0,False
48,MDD,Murray Darling Depression,199583.7,17.4,0.4,2,52.25,210.0,False
48,MDD,Murray Darling Depression,199583.7,17.4,0.4,3,28.0,224.0,False
48,MDD,Murray Darling Depression,199583.7,17.4,0.4,4,3.75,210.0,False
48,MDD,Murray Darling Depression,199583.7,17.4,0.4,5,3.75,182.0,False
49,VIB,Victoria Bonaparte,73012.4,17.47,0.47,0,76.5,168.0,False
49,VIB,Victoria Bonaparte,73012.4,17.47,0.47,1,100.75,182.0,False
49,VIB,Victoria Bonaparte,73012.4,17.47,0.47,2,100.75,210.0,False
49,VIB,Victoria Bonaparte,73012.4,17.47,0.47,3,76.5,224.0,False
49,VIB,Victoria Bonaparte,73012.4,17.47,0.47,4,52.25,210.0,False
49,VIB,Victoria Bonaparte,73012.4,17.47,0.47,5,52.25,182.0,False
50,SEH,South Eastern Highlands,83759.4,18.91,1.91,0,124.99,168.0,False
50,SEH,South Eastern Highlands,83759.4,18.91,1.91,1,149.24,182.0,False
50,SEH,South Eastern Highlands,83759.4,18.91,1.91,2,149.24,210.0,False
50,SEH,South Eastern Highlands,83759.4,18.91,1.91,3,124.99,224.0,False
50,SEH,South Eastern Highlands,83759.4,18.91,1.91,4,100.75,210.0,False
50,SEH,South Eastern Highlands,83759.4,18.91,1.91,5,100.75,182.0,False
51,GES,Geraldton Sandplains,31421.5,19.08,2.08,0,173.49,168.0,False
51,GES,Geraldton Sandplains,31421.5,19.08,2.08,1,197.74,182.0,False
51,GES,Geraldton Sandplains,31421.5,19.08,2.08,2,197.74,210.0,False
51,GES,Geraldton Sandplains,31421.5,19.08,2.08,3,173.49,224.0,False
51,GES,Geraldton Sandplains,31421.5,19.08,2.08,4,149.24,210.0,False
51,GES,Geraldton Sandplains,31421.5,19.08,2.08,5,149.24,182.0,False
52,KIN,King,4255.7,19.87,2.87,0,221.99,168.0,False
52,KIN,King,4255.7,19.87,2.87,1,246.24,182.0,False
52,KIN,King,4255.7,19.87,2.87,2,246.24,210.0,False
52,KIN,King,4255.7,19.87,2.87,3,221.99,224.0,False
52,KIN,King,4255.7,19.87,2.87,4,197.74,210.0,False
52,KIN,King,4255.7,19.87,2.87,5,197.74,182.0,False
53,TIW,Tiwi Cobourg,10105.8,20.22,3.22,0,270.49,168.0,False
53,TIW,Tiwi Cobourg,10105.8,20.22,3.22,1,294.74,182.0,False
53,TIW,Tiwi Cobourg,10105.8,20.22,3.22,2,294.74,210.0,False
53,TIW,Tiwi Cobourg,10105.8,20.22,3.22,3,270.49,224.0,False
53,TIW,Tiwi Cobourg,10105.8,20.22,3.22,4,246.24,210.0,False
53,TIW,Tiwi Cobourg,10105.8,20.22,3.22,5,246.24,182.0,False
54,KAN,Kanmantoo,8124.1,20.55,3.55,0,318.98,168.0,False
54,KAN,Kanmantoo,8124.1,20.55,3.55,1,343.23,182.0,False
54,KAN,Kanmantoo,8124.1,20.55,3.55,2,343.23,210.0,False
54,KAN,Kanmantoo,8124.1,20.55,3.55,3,318.98,224.0,False
54,KAN,Kanmantoo,8124.1,20.55,3.55,4,294.74,210.0,False
54,KAN,Kanmantoo,8124.1,20.55,3.55,5,294.74,182.0,False
55,GFU,Gulf Fall and Uplands,118479.1,24.4,7.4,0,367.48,168.0,False
55,GFU,Gulf Fall and Uplands,118479.1,24.4,7.4,1,391.73,182.0,False
55,GFU,Gulf Fall and Uplands,118479.1,24.4,7.4,2,391.73,210.0,False
55,GFU,Gulf Fall and Uplands,118479.1,24.4,7.4,3,367.48,224.0,False
55,GFU,Gulf Fall and Uplands,118479.1,24.4,7.4,4,343.23,210.0,False
55,GFU,Gulf Fall and Uplands,118479.1,24.4,7.4,5,343.23,182.0,False
56,GUC,Gulf Coastal,27117.2,26.45,9.45,0,415.98,168.0,False
56,GUC,Gulf Coastal,27117.2,26.45,9.45,1,440.23,182.0,False
56,GUC,Gulf Coastal,27117.2,26.45,9.45,2,440.23,210.0,False
56,GUC,Gulf Coastal,27117.2,26.45,9.45,3,415.98,224.0,False
