rank,bioregion_code,bioregion_name,area_km2,protected_pct,gap_to_target_pp,highlight,cx,cy
45,BEL,Ben Lomond,6575.0,16.3,-0.7,False,488.73,154.0
46,TNS,Tasmanian Northern Slopes,6231.0,16.36,-0.64,False,537.22,154.0
47,GAW,Gawler,120028.8,16.36,-0.64,False,585.72,154.0
48,MDD,Murray Darling Depression,199583.7,17.4,0.4,False,28.0,196.0
49,VIB,Victoria Bonaparte,73012.4,17.47,0.47,False,76.5,196.0
50,SEH,South Eastern Highlands,83759.4,18.91,1.91,False,124.99,196.0
51,GES,Geraldton Sandplains,31421.5,19.08,2.08,False,173.49,196.0
52,KIN,King,4255.7,19.87,2.87,False,221.99,196.0
53,TIW,Tiwi Cobourg,10105.8,20.22,3.22,False,270.49,196.0
54,KAN,Kanmantoo,8124.1,20.55,3.55,False,318.98,196.0
55,GFU,Gulf Fall and Uplands,118479.1,24.4,7.4,False,367.48,196.0
56,GUC,Gulf Coastal,27117.2,26.45,9.45,False,415.98,196.0
57,NNC,NSW North Coast,39964.7,26.54,9.54,False,464.48,196.0
58,ESP,Esperance Plains,29213.3,29.29,12.29,False,512.97,196.0
59,SSD,Simpson Strzelecki Dunefields,279842.8,30.88,13.88,False,561.47,196.0
60,DAC,Darwin Coastal,28432.0,30.9,13.9,False,52.25,238.0
61,CEK,Central Kimberley,76755.9,31.08,14.08,False,100.75,238.0
62,ITI,Indian Tropical Islands,273.3,31.73,14.73,False,149.24,238.0
63,MAL,Mallee,73975.6,31.86,14.86,False,197.74,238.0
64,CEA,Central Arnhem,34624.3,34.08,17.08,False,246.24,238.0
65,PSI,Pacific Subtropical Islands,58.2,34.1,17.1,False,294.74,238.0
66,FUR,Furneaux,5375.4,34.41,17.41,False,343.23,238.0
67,YAL,Yalgoo,50875.8,35.56,18.56,False,391.73,238.0
68,SEC,South East Corner,25320.5,36.84,19.84,False,440.23,238.0
69,COO,Coolgardie,129122.1,37.62,20.62,False,488.73,238.0
70,CYP,Cape York Peninsula,122564.6,38.77,21.77,False,537.22,238.0
71,PCK,Pine Creek,28517.8,42.68,25.68,False,585.72,238.0
72,SYB,Sydney Basin,36296.0,42.68,25.68,False,28.0,280.0
73,GVD,Great Victoria Desert,422465.6,42.97,25.97,False,76.5,280.0
74,TAN,Tanami,259972.8,44.65,27.65,False,124.99,280.0
75,WAR,Warren,8447.7,46.94,29.94,False,173.49,280.0
76,LSD,Little Sandy Desert,110898.6,47.34,30.34,False,221.99,280.0
77,GSD,Great Sandy Desert,394861.4,49.92,32.92,False,270.49,280.0
78,WET,Wet Tropics,19891.1,53.54,36.54,False,318.98,280.0
79,ARC,Arnhem Coast,33356.7,54.23,37.23,False,367.48,280.0
80,TSR,Tasmanian Southern Ranges,7821.2,54.36,37.36,False,415.98,280.0
81,NUL,Nullarbor,197227.7,54.93,37.93,False,464.48,280.0
82,GID,Gibson Desert,156289.2,58.4,41.4,False,512.97,280.0
83,TCH,Tasmanian Central Highlands,7678.5,60.88,43.88,False,561.47,280.0
84,NOK,Northern Kimberley,84201.0,61.75,44.75,False,52.25,322.0
85,AUA,Australian Alps,12329.9,64.01,47.01,True,100.75,322.0
86,ARP,Arnhem Plateau,23060.2,74.96,57.96,False,149.24,322.0
87,CER,Central Ranges,101640.4,81.32,64.32,False,197.74,322.0
88,TWE,Tasmanian West,15650.8,86.29,69.29,True,246.24,322.0
